area,link,location,name,number_of_bathrooms,number_of_bedrooms,price_per_metter
34,https://meeyland.com//cuc-pham-cau-giay-vo-chi-cong-full-noi-that-34m2-5t-mt-4-3m-chi-4-ty-7-1700469489379,"Cầu Giấy, Hà Nội","Cực phẩm Cầu Giấy, Võ Chí Công full nội thất 34m2 5T MT 4.3m chỉ 4 tỷ 7",,3,"138,24 Tr/m²"
97,https://meeyland.com//ban-nha-thanh-dam-long-lanh-o-ngay-o-to-dung-do-ngay-dem-kinh-doanh-hoang-mai-1700469131453,"Hoàng Mai, Hà Nội",Bán nhà Thanh Đàm long lanh ở ngay ô tô dừng đỗ ngày đêm kinh doanh Hoàng Mai,,4,"126,8 Tr/m²"
63,https://meeyland.com//ban-nha-2-tang-kiet-o-to-k382-ton-duc-thang-hoa-minh-lien-chieu-1700469039579,"Liên Chiểu, Đà Nẵng","Bán nhà 2 tầng kiệt Ô TÔ K382 Tôn Đức Thắng, Hòa Minh, Liên Chiểu",3,3,"40,48 Tr/m²"
33,https://meeyland.com//ban-nha-ngoc-thuy-long-bien-1700469020248,"Long Biên, Hà Nội",Bán nhà Ngọc Thụy - Long Biên,,,"118,18 Tr/m²"
30,https://meeyland.com//gap-ban-nha-hem-745-xe-o-to-do-cua-quang-trung-go-vap-ngang-5m-4-tang-moi-full-nt-4-ty-1-tl-1700468836096,"Gò Vấp, Hồ Chí Minh",Gấp bán nhà hẻm 745 xe o to đổ cửa Quang Trung Gò Vấp ngang 5m 4 tầng mới full NT 4 tỷ 1 TL,3,3,"133,33 Tr/m²"
60,https://meeyland.com//ban-nha-long-bien-60m2-gia-4-15-ty-1700468866454,"Long Biên, Hà Nội","Bán nhà Long Biên, 60m2, giá 4,15 tỷ",,,"69,17 Tr/m²"
31,https://meeyland.com//ban-nha-ngo-192-kim-giang-hoang-mai-31m2-4-tang-mt-3-1m-gia-ban-3-5-ty-1700468827428,"Hoàng Mai, Hà Nội","Bán nhà ngõ 192 Kim Giang, Hoàng Mai, 31m2, 4 tầng, mặt tiền 3,1m, giá bán 3.5 tỷ",3,4,"112,9 Tr/m²"
50,https://meeyland.com//ban-nha-thach-ban-long-bien-50m2-4-tang-moi-cung-1700468684663,"Long Biên, Hà Nội","Bán nhà Thạch Bàn, Long Biên 50m2, 4 tầng mới cứng",,,
52,https://meeyland.com//co-ba-n-can-nha-lau-nam-duo-ng-ca-ch-ma-ng-tha-ng-ta-m-q3-1700468633162,"Quận 3, Hồ Chí Minh","Cô bán căn nhà lâu năm đường Cách Mạng Tháng Tám, Q3",2,3,100 Tr/m²
51,https://meeyland.com//ban-nha-long-bien-51m2-1700468546920,"Long Biên, Hà Nội","Bán nhà Long Biên, 51m2",,,"113,73 Tr/m²"
51,https://meeyland.com//ban-nha-3-tang-trung-tam-thi-tran-nha-be-51m2-vuong-vuc-day-du-tien-ich-chi-3-8t-1700468459088,"Nhà Bè, Hồ Chí Minh","Bán nhà 3 tầng trung tâm thị trấn Nhà Bè, 51m2 vuông vức đầy đủ tiện ích chỉ 3,8 tỷ",3,4,"74,51 Tr/m²"
